name,slug,value,date_of_information,ranking,region
"Iran, Islamic Republic of",iran,"86,758,304",2022 est.,17,Middle East
Iraq,iraq,"40,462,701",2022 est.,36,Middle East
Ireland,ireland,"5,275,004",2022 est.,123,Europe
Isle of Man,isle-of-man,"91,382",2022 est.,198,Europe
Israel,israel,"8,914,885",2022 est.,98,Middle East
Italy,italy,"61,095,551",2022 est.,24,Europe
Jamaica,jamaica,"2,818,596",2022 est.,140,Central America and the Caribbean
Japan,japan,"124,214,766",2022 est.,11,East and Southeast Asia
Jersey,jersey,"102,146",2022 est.,193,Europe
Jordan,jordan,"10,998,531",2022 est.,85,Middle East
Kazakhstan,kazakhstan,"19,398,331",2022 est.,64,Central Asia
Kenya,kenya,"55,864,655",2022 est.,27,Africa
Kiribati,kiribati,"114,189",2022 est.,189,Australia and Oceania
"Korea, Democratic People's Republic of",korea-north,"25,955,138",2022 est.,55,East and Southeast Asia
"Korea, Republic of",korea-south,"51,844,834",2022 est.,28,East and Southeast Asia
Kosovo,kosovo,"1,952,701",2022 est.,152,Europe
Kuwait,kuwait,"3,068,155",2022 est.,137,Middle East
Kyrgyzstan,kyrgyzstan,"6,071,750",2022 est.,112,Central Asia
Lao People's Democratic Republic,laos,"7,749,595",2022 est.,103,East and Southeast Asia
Latvia,latvia,"1,842,226",2022 est.,153,Europe
Lebanon,lebanon,"5,296,814",2022 est.,122,Middle East
Lesotho,lesotho,"2,193,970",2022 est.,147,Africa
Liberia,liberia,"5,358,483",2022 est.,121,Africa
Libya,libya,"7,137,931",2022 est.,106,Africa
Liechtenstein,liechtenstein,"39,711",2022 est.,212,Europe
Lithuania,lithuania,"2,683,546",2022 est.,142,Europe
Luxembourg,luxembourg,"650,364",2022 est.,168,Europe
Macau,macau,"635,293",2022 est.,169,East and Southeast Asia
Madagascar,madagascar,"28,172,462",2022 est.,53,Africa
Malawi,malawi,"20,794,353",2022 est.,61,Africa
Malaysia,malaysia,"33,871,431",2022 est.,43,East and Southeast Asia
Maldives,maldives,"390,164",2022 est.,176,South Asia
Mali,mali,"20,741,769",2022 est.,62,Africa
Malta,malta,"464,186",2022 est.,174,Europe
Marshall Islands,marshall-islands,"79,906",2022 est.,200,Australia and Oceania
Mauritania,mauritania,"4,161,925",2022 est.,129,Africa
Mauritius,mauritius,"1,308,222",2022 est.,158,Africa
Mexico,mexico,"129,150,971",2022 est.,10,North America
"Micronesia, Federated States of",micronesia-federated-states-of,"101,009",2022 est.,194,Australia and Oceania
"Moldova, Republic of",moldova,"3,287,326",2022 est.,133,Europe
Monaco,monaco,"31,400",2022 est.,216,Europe
Mongolia,mongolia,"3,227,863",2022 est.,134,East and Southeast Asia
Montenegro,montenegro,"604,966",2022 est.,171,Europe
Montserrat,montserrat,"5,414",2022 est.,226,Central America and the Caribbean
Morocco,morocco,"36,738,229",2022 est.,40,Africa
Mozambique,mozambique,"31,693,239",2022 est.,46,Africa
Namibia,namibia,"2,727,409",2022 est.,141,Africa
Nauru,nauru,"9,811",2022 est.,222,Australia and Oceania
Nepal,nepal,"30,666,598",2022 est.,49,South Asia
Netherlands,netherlands,"17,400,824",2022 est.,70,Europe
New Caledonia,new-caledonia,"297,160",2022 est.,182,Australia and Oceania
New Zealand,new-zealand,"5,053,004",2022 est.,125,Australia and Oceania
Nicaragua,nicaragua,"6,301,880",2022 est.,110,Central America and the Caribbean
Niger,niger,"24,484,587",2022 est.,56,Africa
Nigeria,nigeria,"225,082,083",2022 est.,6,Africa
Niue,niue,"2,000",July 2022 est.,231,Australia and Oceania
Norfolk Island,norfolk-island,"1,748",2016 est.,232,Australia and Oceania
"Macedonia, the Former Yugoslav Republic of",north-macedonia,"2,130,936",2022 est.,148,Europe
Northern Mariana Islands,northern-mariana-islands,"51,475",2022 est.,209,Australia and Oceania
Norway,norway,"5,553,840",2022 est.,117,Europe
Oman,oman,"3,764,348",2022 est.,131,Middle East
Pakistan,pakistan,"242,923,845",2022 est.,5,South Asia
Palau,palau,"21,695",2022 est.,218,Australia and Oceania
Panama,panama,"4,337,768",2022 est.,127,Central America and the Caribbean
Papua New Guinea,papua-new-guinea,"9,593,498",2022 est.,94,East and Southeast Asia
Paracel Islands,paracel-islands,"1,440",July 2014 est.,234,East and Southeast Asia
Paraguay,paraguay,"7,356,409",2022 est.,104,South America
Peru,peru,"32,275,736",2022 est.,45,South America
Philippines,philippines,"114,597,229",2022 est.,12,East and Southeast Asia
Pitcairn Islands,pitcairn-islands,50,2021 est.,237,Australia and Oceania
Poland,poland,"38,093,101",2022 est.,39,Europe
Portugal,portugal,"10,242,081",2022 est.,91,Europe
Puerto Rico,puerto-rico,"3,098,423",2022 est.,135,Central America and the Caribbean
Qatar,qatar,"2,508,182",2022 est.,143,Middle East
Romania,romania,"18,519,899",2022 est.,65,Europe
Russian Federation,russia,"142,021,981",2022 est.,9,Central Asia
Rwanda,rwanda,"13,173,730",2022 est.,76,Africa
Saint Barthelemy,saint-barthelemy,"7,103",2022 est.,225,Central America and the Caribbean
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,"7,925",2022 est.,224,Africa
Saint Kitts and Nevis,saint-kitts-and-nevis,"54,488",2022 est.,207,Central America and the Caribbean
Saint Lucia,saint-lucia,"167,122",2022 est.,186,Central America and the Caribbean
Saint Martin,saint-martin,"32,792",2022 est.,215,Central America and the Caribbean
Saint Pierre and Miquelon,saint-pierre-and-miquelon,"5,257",2022 est.,227,North America
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,"100,969",2022 est.,195,Central America and the Caribbean
Samoa,samoa,"206,179",2022 est.,184,Australia and Oceania
San Marino,san-marino,"34,682",2022 est.,214,Europe
Sao Tome and Principe,sao-tome-and-principe,"217,164",2022 est.,183,Africa
Saudi Arabia,saudi-arabia,"35,354,380",2022 est.,41,Middle East
Senegal,senegal,"17,923,036",2022 est.,68,Africa
Serbia,serbia,"6,739,471",2022 est.,108,Europe
Seychelles,seychelles,"97,017",2022 est.,197,Africa
Sierra Leone,sierra-leone,"8,692,606",2022 est.,100,Africa
Singapore,singapore,"5,921,231",2022 est.,113,East and Southeast Asia
Sint Maarten,sint-maarten,"45,126",2022 est.,211,Central America and the Caribbean
Slovakia,slovakia,"5,431,252",2022 est.,120,Europe
Slovenia,slovenia,"2,101,208",2022 est.,149,Europe
Solomon Islands,solomon-islands,"702,694",2022 est.,167,Australia and Oceania
Somalia,somalia,"12,386,248",2022 est.,78,Africa
